feature,importance
log_amount,3.069549034368376
transaction_hour,3.000805771092188
suspicious_transaction_ratio,1.3566544851622293
transaction_month,1.3147065397820912
international_ratio_24h,1.283786071005523
amount_deviation_from_average,1.067445075389379
rapid_transaction_indicator,1.0102765050794953
channel_transaction_count,0.9869234533148397
amount_squared,0.9852727057959434
transactions_24h,0.974427702973007
channel_transaction_ratio,0.9627836746030062
is_night_transaction,0.9609036568958592
amount_usd,0.892828031208082
structuring_customer_count,0.8596623098670928
cash_ratio_24h,0.7818477710823779
top_transaction_indicator,0.7278649297776617
volume_30d,0.6512447078186946
amount_vs_customer_average,0.6053153834185651
amount_vs_customer_max,0.5684646207119516
average_transaction_30d,0.5668302920794641
structuring_ratio,0.5664237852815964
rapid_movement_ratio,0.5471504989645073
customer_volume_share,0.5430394109305939
transactions_7d,0.39869094985584597
transaction_vs_monthly_income,0.3976118293015163
unique_counterparties,0.39350472639288064
volume_24h,0.3932298276640268
customer_total_transactions,0.3631063295732751
rule_alert_ratio,0.3528667326285593
is_small_cash_transaction,0.34264032222616436
customer_total_volume,0.28646431690724034
is_weekend,0.28536328119299925
counterparty_diversity_ratio,0.27988589550985543
annual_transaction_volume_vs_income,0.2666934710464902
pep_flag,0.25506226501009177
customer_max_transaction,0.2541041752556054
high_customer_risk,0.24430936265830966
unique_destination_countries,0.23294521691888986
mule_behavior_indicator,0.2289799671373075
transactions_30d,0.20972560318489814
transaction_day_of_week,0.20567866353241085
near_10000_threshold,0.19126333650391877
amount_zscore,0.18628619477972114
customer_risk_numeric,0.17312972641871008
customer_min_transaction,0.17265737975916462
transaction_day,0.17177501397540354
average_transaction_24h,0.16740510725131097
customer_transaction_std,0.15502502645930394
international_ratio,0.1485850203611532
cash_ratio,0.14396765957809618
rapid_movement_flag,0.1317430406824131
layering_behavior_score,0.1317430406824131
minutes_since_previous_transaction,0.10864450649866951
adverse_media_flag,0.10729948583975067
volume_7d,0.10442921484500156
cash_transactions_24h,0.10398733891252653
multiple_near_threshold,0.10144615794874647
high_risk_customer_profile,0.09867071939739763
customer_risk_indicator_count,0.09629541704798214
funnel_behavior_score,0.0927188217744847
amount_vs_expected_monthly,0.08967681464430392
international_transactions_24h,0.07798299859989581
is_very_large_transaction,0.06879040886405934
is_large_transaction,0.05918018072109111
customer_volume_vs_expected,0.05913262575439791
customer_average_transaction,0.05555958919259458
unique_origin_countries,0.031379188878266275
average_transaction_7d,0.0169508416333025
rapid_movement_customer_count,0.015844116337036536
sanctions_flag,0.0004431416629528923
